Time,Oxygen Level,Pulse Rate,Motion
17:45:45 16/08/2026,97,119,0
17:45:47 16/08/2026,97,119,0
17:45:49 16/08/2026,97,119,0
17:45:51 16/08/2026,96,119,3
17:45:53 16/08/2026,96,120,2
17:45:55 16/08/2026,96,122,6
17:45:57 16/08/2026,96,123,2
17:45:59 16/08/2026,96,123,0
17:46:01 16/08/2026,96,123,1
17:46:03 16/08/2026,96,121,6
17:46:05 16/08/2026,96,121,2
17:46:07 16/08/2026,96,125,13
17:46:09 16/08/2026,96,124,2
17:46:11 16/08/2026,96,125,1
17:46:13 16/08/2026,96,124,0
17:46:15 16/08/2026,96,123,0
17:46:17 16/08/2026,96,123,0
17:46:19 16/08/2026,96,123,1
17:46:21 16/08/2026,96,123,0
17:46:23 16/08/2026,96,125,0
17:46:25 16/08/2026,96,126,0
17:46:27 16/08/2026,96,126,0
17:46:29 16/08/2026,96,127,0
17:46:31 16/08/2026,96,129,0
17:46:33 16/08/2026,96,130,0
17:46:35 16/08/2026,96,130,0
17:46:37 16/08/2026,96,127,0
17:46:39 16/08/2026,96,123,0
17:46:41 16/08/2026,96,122,0
17:46:43 16/08/2026,96,123,0
17:46:45 16/08/2026,96,127,0
17:46:47 16/08/2026,96,129,0
17:46:49 16/08/2026,97,130,0
17:46:51 16/08/2026,97,131,0
17:46:53 16/08/2026,97,131,0
17:46:55 16/08/2026,96,131,0
17:46:57 16/08/2026,96,131,0
17:46:59 16/08/2026,96,131,0
17:47:01 16/08/2026,96,130,2
17:47:03 16/08/2026,96,130,1
17:47:05 16/08/2026,96,129,0
17:47:07 16/08/2026,96,129,0
17:47:09 16/08/2026,96,130,0
17:47:11 16/08/2026,96,130,0
17:47:13 16/08/2026,96,129,1
17:47:15 16/08/2026,96,129,0
17:47:17 16/08/2026,97,128,0
17:47:19 16/08/2026,97,128,0
17:47:21 16/08/2026,97,128,1
17:47:23 16/08/2026,96,129,0
17:47:25 16/08/2026,96,129,0
17:47:27 16/08/2026,97,129,0
17:47:29 16/08/2026,97,129,1
17:47:31 16/08/2026,97,129,13
17:47:33 16/08/2026,96,129,0
17:47:35 16/08/2026,96,129,0
17:47:37 16/08/2026,96,129,0
17:47:39 16/08/2026,96,128,2
17:47:41 16/08/2026,96,127,2
17:47:43 16/08/2026,96,125,0
17:47:45 16/08/2026,96,124,14
17:47:47 16/08/2026,96,123,1
17:47:49 16/08/2026,96,123,0
17:47:51 16/08/2026,96,124,0
17:47:53 16/08/2026,96,124,2
17:47:55 16/08/2026,96,124,0
17:47:57 16/08/2026,96,125,0
17:47:59 16/08/2026,96,124,0
17:48:01 16/08/2026,96,124,0
17:48:03 16/08/2026,96,124,1
17:48:05 16/08/2026,96,123,1
17:48:07 16/08/2026,96,123,3
17:48:09 16/08/2026,95,123,1
17:48:11 16/08/2026,95,123,0
17:48:13 16/08/2026,95,123,0
17:48:15 16/08/2026,95,123,1
17:48:17 16/08/2026,95,123,0
17:48:19 16/08/2026,95,125,2
17:48:21 16/08/2026,95,127,0
17:48:23 16/08/2026,96,128,1
17:48:25 16/08/2026,96,128,0
17:48:27 16/08/2026,96,126,2
17:48:29 16/08/2026,96,125,4
17:48:31 16/08/2026,96,124,0
17:48:33 16/08/2026,96,123,0
17:48:35 16/08/2026,96,124,0
17:48:37 16/08/2026,96,125,0
17:48:39 16/08/2026,96,127,1
17:48:41 16/08/2026,96,129,0
17:48:43 16/08/2026,96,129,0
17:48:45 16/08/2026,96,129,1
17:48:47 16/08/2026,96,129,0
17:48:49 16/08/2026,96,129,0
17:48:51 16/08/2026,96,130,0
17:48:53 16/08/2026,96,131,0
17:48:55 16/08/2026,96,132,0
17:48:57 16/08/2026,96,132,0
17:48:59 16/08/2026,96,132,2
17:49:01 16/08/2026,96,132,1
17:49:03 16/08/2026,96,131,0
17:49:05 16/08/2026,96,130,0
17:49:07 16/08/2026,96,129,0
17:49:09 16/08/2026,96,128,1
17:49:11 16/08/2026,96,128,0
17:49:13 16/08/2026,96,129,0
17:49:15 16/08/2026,96,129,1
17:49:17 16/08/2026,96,129,2
17:49:19 16/08/2026,96,128,0
17:49:21 16/08/2026,96,127,0
17:49:23 16/08/2026,96,127,1
17:49:25 16/08/2026,96,127,2
17:49:27 16/08/2026,96,128,0
17:49:29 16/08/2026,96,130,0
17:49:31 16/08/2026,96,131,0
17:49:33 16/08/2026,96,132,4
17:49:35 16/08/2026,96,133,0
17:49:37 16/08/2026,96,131,0
17:49:39 16/08/2026,96,133,0
17:49:41 16/08/2026,96,133,0
17:49:43 16/08/2026,96,132,0
17:49:45 16/08/2026,96,132,3
17:49:47 16/08/2026,96,132,1
17:49:49 16/08/2026,96,131,0
17:49:51 16/08/2026,96,131,0
17:49:53 16/08/2026,96,132,1
17:49:55 16/08/2026,96,134,2
17:49:57 16/08/2026,96,136,1
17:49:59 16/08/2026,96,137,3
17:50:01 16/08/2026,96,137,10
17:50:03 16/08/2026,96,137,4
17:50:05 16/08/2026,96,137,0
17:50:07 16/08/2026,96,136,1
17:50:09 16/08/2026,96,136,0
17:50:11 16/08/2026,96,135,0
17:50:13 16/08/2026,96,134,11
17:50:15 16/08/2026,96,133,0
17:50:17 16/08/2026,96,132,0
17:50:19 16/08/2026,96,132,0
17:50:21 16/08/2026,96,132,18
17:50:23 16/08/2026,96,131,5
17:50:25 16/08/2026,96,132,0
17:50:27 16/08/2026,96,131,0
17:50:29 16/08/2026,96,130,0
17:50:31 16/08/2026,96,130,78
17:50:33 16/08/2026,96,130,14
17:50:35 16/08/2026,96,129,30
17:50:37 16/08/2026,96,130,22
17:50:39 16/08/2026,96,129,3
17:50:41 16/08/2026,96,127,6
17:50:43 16/08/2026,96,127,2
17:50:45 16/08/2026,96,127,2
